Code,CompanyName,URL1,URL2,Note,URL1
64480,ブラザー工業,https://global.brother/pub/jp/csr/pdf/2023/ful-a3-j.pdf,https://global.brother/pub/jp/csr/pdf/2023/ful-a4-j.pdf,,ful-a3-j.pdf
65010,日立製作所,https://www.hitachi.co.jp/IR/library/integrated/2023/ar2023j.pdf,,,ar2023j.pdf
65040,富士電機,https://www.fujielectric.co.jp/about/ir/pdf/ar2023/all.pdf,https://www.fujielectric.co.jp/about/ir/pdf/ar2023/allA4.pdf,,all.pdf
65250,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,https://csr-toshokan.net/ln_book/kegroup-2023/download.pdf,,,download.pdf
66450,オムロン,https://www.omron.com/jp/ja/ir/irlib/pdfs/ar23j/OMRON_Integrated_Report_2023_jp_A4.pdf,,,OMRON_Integrated_Report_2023_jp_A4.pdf
66740,ジーエス・ユアサ　コーポレーション,https://ir.gs-yuasa.com/jp/ir/library/annualreport/main/0/teaserItems1/012/link/GS_Yuasa_Report_2023.pdf,https://ir.gs-yuasa.com/jp/ir/library/annualreport/main/0/teaserItems1/013/link/GS_Yuasa_Report_2023_A4.pdf,,GS_Yuasa_Report_2023.pdf
67010,日本電気,https://jpn.nec.com/ir/library/annual/2023/pdf/etsuran.pdf,,,etsuran.pdf
67020,富士通,https://activate.fujitsu/-/media/Project/Fujitsu/Fujitsu-Activate/about/integrated-report/PDF/integrated-report_2023_jp.pdf,,,integrated-report_2023_jp.pdf
67240,セイコーエプソン,https://corporate.epson/ja/investors/publications/pdf/integrated_report/epson_ir2023_all_j.pdf,,,epson_ir2023_all_j.pdf
67270,ワコム,https://contents.xj-storage.jp/xcontents/AS95168/559a01a9/3a62/405e/af2b/d152d9a0967e/140120230509561790.pdf,,,140120230509561790.pdf
67520,パナソニック　ホールディングス,https://holdings.panasonic/jp/corporate/investors/pdf/annual/2023/pana_ar2023j_a4.pdf,,,pana_ar2023j_a4.pdf
