start_station_id,start_station_name,start_lat,start_lng,ride_count
213,Leavitt St & North Ave,41.910509,-87.682389,3485
258,Logan Blvd & Elston Ave,41.929465,-87.684158,3438
282,Halsted St & Maxwell St,41.864883,-87.647071,3391
243,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,3353
319,Greenview Ave & Diversey Pkwy,41.93259,-87.665936,3346
160,Campbell Ave & North Ave,41.910535,-87.689556,3335
406,Lake Park Ave & 35th St,41.831274,-87.608799,3333
253,Winthrop Ave & Lawrence Ave,41.968812,-87.657659,3332
13137,Broadway & Barry Ave,41.937582,-87.644098,3322
286,Franklin St & Adams St (Temp),41.879434,-87.635504,3303
257,Lincoln Ave & Waveland Ave,41.948797,-87.675278,3302
13016,St. Clair St & Erie St,41.894345,-87.622798,3298
238,Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,3287
309,Leavitt St & Armitage Ave,41.917805,-87.682437,3286
28,Larrabee St & Menomonee St,41.91468,-87.64332,3282
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,3255
628,Walsh Park,41.91461,-87.667968,3232
242,Damen Ave & Leland Ave,41.967094,-87.679028,3228
13146,Clark St & Armitage Ave,41.918306,-87.636282,3205
146,Loomis St & Jackson Blvd,41.877945,-87.662007,3192
310,Damen Ave & Charleston St,41.920082,-87.677855,3177
660,Sheridan Rd & Columbia Ave,42.004583,-87.661406,3175
13179,Clark St & Lincoln Ave,41.915689,-87.6346,3175
347,Ashland Ave & Grace St,41.950687,-87.6687,3167
13061,Ashland Ave & Division St,41.90345,-87.667747,3147
15541,Buckingham Fountain,41.876511,-87.620548,3132
420,Ellis Ave & 55th St,41.794301,-87.60145,3116
13325,Broadway & Waveland Ave,41.949074,-87.648636,3097
305,Western Ave & Division St,41.902893,-87.687275,3088
308,Seeley Ave & Roscoe St,41.943403,-87.679618,3071
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,3052
277,Ashland Ave & Grand Ave,41.891072,-87.666611,3046
15,Racine Ave & 18th St,41.858166,-87.656495,3026
129,Blue Island Ave & 18th St,41.857556,-87.661535,3020
216,California Ave & Division St,41.903029,-87.697474,2995
644,Western Ave & Fillmore St,41.868563,-87.686234,2975
418,Ellis Ave & 53rd St,41.799336,-87.600958,2961
659,Leavitt St & Chicago Ave,41.895501,-87.682017,2945
414,Canal St & Taylor St,41.870257,-87.639474,2935
261,Hermitage Ave & Polk St,41.871514,-87.669886,2928
162,Damen Ave & Wellington Ave,41.93588,-87.67842,2909
13431,Adler Planetarium,41.866095,-87.607267,2909
147,Indiana Ave & 26th St,41.845687,-87.622481,2878
424,Museum of Science and Industry,41.791728,-87.583945,2860
328,Ellis Ave & 58th St,41.788746,-87.601334,2849
109,900 W Harrison St,41.874754,-87.649807,2842
604,Sheridan Rd & Noyes St (NU),42.058239,-87.677432,2827
676,WATSON TESTING - DIVVY,41.894731,-87.730886,2819
276,California Ave & North Ave,41.91044,-87.6972,2817
622,California Ave & Cortez St,41.900363,-87.696704,2794
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,2770
205,Paulina St & 18th St,41.857901,-87.668745,2762
236,Sedgwick St & Schiller St,41.907626,-87.638566,2751
523,Eastlake Ter & Rogers Ave,42.020887,-87.665058,2749
464,Damen Ave & Foster Ave,41.975615,-87.679459,2740
50,Clark St & Ida B Wells Dr,41.875933,-87.630585,2739
248,Woodlawn Ave & 55th St,41.795264,-87.596471,2736
23,Orleans St & Elm St,41.902924,-87.637715,2732
447,Glenwood Ave & Morse Ave,42.007972,-87.665502,2714
97,Field Museum,41.865312,-87.617867,2702
222,Milwaukee Ave & Rockwell St,41.920196,-87.692659,2680
217,Elizabeth (May) St & Fulton St,41.886616,-87.65804,2669
13278,Broadway & Cornelia Ave,41.945529,-87.646439,2622
185,Stave St & Armitage Ave,41.917741,-87.691392,2609
259,California Ave & Francis Pl (Temp),41.918491,-87.697423,2602
502,California Ave & Altgeld St,41.92669,-87.697668,2602
481,California Ave & Montrose Ave,41.961068,-87.695439,2592
149,Calumet Ave & 33rd St,41.8349,-87.61793,2570
13193,Larrabee St & Webster Ave,41.921822,-87.64414,2567
263,Rhodes Ave & 32nd St,41.836208,-87.613533,2555
